Yoga-Asan,Description,Benefits,Level,Contraindication,Balancing posture,Instructions,Breathing,Source,Video link,Photo
Balasana,A kneeling asana in modern yoga as exercise. Balasana is a counter asana for various asanas and is usually practiced before and after Sirsasana.,The balasana yoga or the asana helps release any tension in the chest. It is also why people trust yoga for better sleep. It relaxes the back and spine and enables people to trust in yoga for good sleep. It alleviates the stress felt by your shoulders and hands.,Balasana is very easy to do hence you can perform it for longer than other other advanced-level asanas. You start from 30 seconds and go up.,"if you are suffering from Diarrhea, you should avoid Balasana.a high blood pressure patient should avoid this asana.If you are having a recent or deep injury in your feet, knees, thighs, spine or neck, do not perform it at all.","Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs. On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground.
","Place your knees hip-width apart and inhale. Now bend forward and exhale as you lay your torso between your thighs and swing your hands forward. Hold this position for 2-3 minutes. At last, breathe-in slowly and return to the starting position.",,,,https://drive.google.com/file/d/1vskP_cQeqWfWwhiBrewNw7QhGFE7HkHI/view?usp=sharing
Bhairavasana/ Ankushasana,"Supta Bhairavasana’s name comes from the Sanskrit root. Supta, meaning “reclined”; Bhairava, meaning “formidable,” “frightful”. ","Practicing Bhairavasana lengthens the spine which stretches the back muscles and makes them supple and flexible.Strengthens the leg muscles, improves digestion, stretches Oblique muscles, soothes the nervous system.","An advanced level hip-opening yoga posture, along with powerful pose mentally and physically.","Anyone with injury in and around the spine, hips, knee, neck shoulders, or wrist must avoid it.People suffering from a hernia must not try it out.Do not practice this pose if you have sciatica pain.","A variation on vasisthasana, or side plank, with one leg behind the head. It's a powerful pose mentally as well as physically because it requires opening and expansion in a challenging place, which can go against the natural tendency to want to shrink from difficulty.","To do this yoga posture, first of all, sit with both legs spread in front.Now raise your right leg and move it towards the shoulder straight hand and then around the back of the neck.Bring the hands to take a prayer position at the center of the chest.",,,,https://drive.google.com/file/d/1jKJpwsgrVcnf6kR6lg864VuJGYdhYEv-/view?usp=sharing
Bharadvajasana,The asana is dedicated to the sage Bharadvāja who was one of the Seven Great Sages or Rishi.,"Relieves pain and stiffness in the neck, shoulders, and the lower back.Helps keep the spine and shoulders supple.Eases a painful, stiff, sprained, or fused lumbar spine.Reduces discomfort in the dorsal spine area.Increases the flexibility of the back and hips.",Bharadvajasana is considered to be an intermediate level or moderate difficulty asana.,"High blood pressure, low blood pressure, diarrhea, insomnia, headache","Bharadvājāsana is a seated spinal twist with the legs as in Virasana (hero pose), one foot on the floor and the other ankle cradled in the arch of the foot below.",Begin in dandasana.Flex the left knee to place the foot on the right thigh's root.Bend your right knee to place the right foot beside the right hip.Draw the left arm to the back to hold the left foot with the left hand.Straighten the right arm to insert the right hand under the left knee.,Your breathing must be deeper and rhythmic.,,,https://drive.google.com/file/d/1tAxDmNZTaOS9zvQEhMRxuX9vWccdJTAZ/view?usp=sharing
Bhekasana,It is one of several poses that put the body in a shape like that of a frog.,"Opens up the hip joints.Provides deep stretch to the legs and muscles therein.Strengthens and stretches the lower back, stretches deep hip flexors.Strengthens the back muscles, provides deep stretch and flexibility to the lower and middle back.","This yoga is difficult to do, but continuous practicing can reduce the difficulty.",Suffering from any health conditions related to the stomach.Not to be done when pregnant.If there is injury at the knee and the lower back.Go slow with the pressure at the hips and the shoulders.,"Inhale, rotate your elbows toward the sky, so that your hands are over the top of the feet. Using the hands press the heels down towards the floor. Square your shoulders with the front of the making sure they are down and away from the ears. Keep the chest lifted.","Start by lying down on your front. Inhale, come up onto the forearms so that you can lift your head and upper torso. Exhale, bend your right knee and bring the heel toward the right hip.Inhale, rotate your elbows toward the sky, so that your hands are over the top of the feet.",Keep breathing normally and hold the pose for 5 breaths before you discharge the pose.,,,https://drive.google.com/file/d/1QLoOXSN9mINshCe8eHYptUtD9TOFxbuI/view?usp=sharing
Bhujangasana,A reclining back-bending asana in hatha yoga and modern yoga as exercise.It is commonly performed in a cycle of asanas in Surya Namaskar.,"Bhujangasana is very useful to keep your back healthy and fit. In this asana, you bend your neck and head backwards while the rest of the body lies straight on the floor upside down. This back-bending helps soften the firm muscles of the shoulder, chest, and neck.",This pose is one of the basic backbend poses introduced at the beginner level,"People suffering from a hernia, back injuries, headaches, and recent abdominal surgeries should not perform this asana.Pregnant women should not perform this asana.","For the full pose, the back is arched until the arms are straight, and the gaze is directed straight upwards or a little backwards. The legs remain on the ground, unlike in the similar Upward Dog pose. ",Place your palms flat on the ground directly under your shoulders. Bend your elbows straight back and hug them into your sides.Pause for a moment looking straight down at your mat with your neck in a neutral position.Inhale to lift your chest off the floor.Keep your neck neutral.,"Maintain the pose while breathing evenly for 4-5 breaths. Now, breathe out, and gently bring your abdomen, chest, and head back to the floor and relax.",,,https://drive.google.com/file/d/1LK8J8VxkqhGoYX1A4IS2l9EM40jVWIHR/view?usp=sharing
Bhujapidasana,"The name of this asana comes from Bhuja meaning ""arm"" or ""shoulder"", Pīḍa meaning ""pressure"" and Asana meaning ""posture"" or ""seat"".","Practicing Bhujapidasana can build strength in your arms, shoulders, wrists, hands, core, and inner thighs. It also helps improve your balance and increases the flexibility in the hip joints.",Bhujapidasana is an intermediate-to-advanced level move in yoga.,"Practitioners who have undergone abdominal surgery, injuries in wrist, shoulder, elbow, knee, and neck should refrain from doing Bhujpidasana. Patients with the condition of cervical spondylitis and high blood pressure should avoid practicing this asana.",Bhujapidasana is an arm supported asana in which the base of support are the palms of the hands. It requires both balance and strength to maintain.,"Place the weight in your hands, lean back, and lift your feet up off the floor. For an extra challenge, cross at the ankles. Stay here and breathe deeply for 30 seconds, or as long as comfortable. When you're ready to return to the starting position, bend your elbows and release your feet back to the floor",Stay here breathing easily for thirty seconds. Then relax back down and come out of the pose.,,,https://drive.google.com/file/d/1OZFAh5sq2P8WWT8psX12QCtcRvqhRbG2/view?usp=sharing
Bidalasana/ Marjariasana,"Bidalasana is also called as Marjariasana, this name comes as the body resembles the cat, while it stretches rounding its back","Improves the flexibility of the spine. Improves the prana in the body while flexing the spine. Relieves tensions around the lower back, middle back, neck and shoulders.Engages the core muscles, making it strong.Strengthens the arms, shoulders and the wrists.","A beginner posture that goes along with Cow Pose. Typically, the Yogi will perform them in conjunction with each other. ","Injury of the shoulders, wrists, neck, hip, knee and the back, blood pressure, migraine, spondylitis, arthritis of the knee and wrists.","The practitioner kneels on all fours and slowly raises and lowers the back, transitioning in a gentle vinyasa between Cat and Cow Poses, and exercising the core muscles that support the spine.","Start to sit at the centre of the mat in Vajrasana, placing the hips on the heels, while sitting on the shins and the knees. Relax the body and take a few breaths here, extending the spine upwards while breathing.Inhale and place your palms on the floor in front of you extending the arms out straight.","It opens the chest, encouraging the breath to become slow and deep.",,,https://drive.google.com/file/d/12U0SlX1CF74PibR68aUyH1bYvVGN29Np/view?usp=sharing
Chaturanga/ Dandasana,"An asana in modern yoga as exercise and in some forms of Surya Namaskar, in which a straight body parallel to the ground is supported by the toes and palms, with elbows at a right angle along the body.","Similar to plank exercises, this asana aligns your whole body and builds strength in your erector spinae, the muscles on either side of your spine. This helps improve core strength, posture, and stability. Mastering Chaturanga can help you build functional strength.",The chaturanga dandasana is an intermediate-level yoga pose that is focused on improving the upper body strength as well as core stability.,"Wrist injuries and recent surgeries, carpal tunnel syndrome, slipped discs, along with other spinal issues, pregnancy",Maintaining alignment in the shoulders and chest while bearing weight is as challenging as it is crucial.,"Come into a high plank by positioning your wrists directly under your shoulders and maintaining a slight bend in your elbows.On an exhale, bend your elbows and lower your shoulders so they're at the same height as your elbows.Tightly squeeze your elbows in toward your body.","Breathe out, bend your elbows, and keep down your lower body towards the ground but not touching it, stop at a point when you are few inches away from the floor.",,,https://drive.google.com/file/d/1J7hM1FYLluJpLjHMoJBjQVL9LWsruWtD/view?usp=sharing
Dandasana,"The name comes from the Sanskrit words daṇḍa meaning ""stick"" or ""staff""and  āsana meaning ""posture"".","This seated posture strengthens the back muscles and improves your posture. It also stretches your upper body, including your shoulders and chest.","Although Dandasana is a beginners' pose, it can be difficult to place both hands comfortably on the ground, as this requires a lot of stretch.",Staff Pose (Dandasana) should be avoided by people with knee and ankle injuries and people with a very weak core and stiff Hamstrings.,"The palms or the fingertips should be rested on the ground either side of the body. The upper-body should be extending upward through the crown of the head, and the back should be completely perpendicular to the ground .","Sit on the floor with your legs straight out in front of you.Bend your elbows, dome your hands, and press the tops of your fingers into the floor next to your hips.Firm your thighs as if hugging your femurs (thigh bones).Lengthen your spine without hardening your abdomen or impeding your breath.","Start inhaling, and as you exhale, stretch the legs forward. Hold this posture for about 10 breaths if you are practising at the Intermediate Level and 18 breaths if you are at the Advanced Level, and only 4 breaths if at the Beginner’s Level, depending on the comfort of the body.",,,https://drive.google.com/file/d/1HwyzyC664ajd-DzpL84T5P-IBGtMrAcG/view?usp=sharing
Dhanurasana,"A back bending asana in hatha yoga and modern yoga as exercise.The name comes from the Sanskrit words dhanur meaning ""bow""and āsana meaning ""posture"" or ""seat"".","In this asana, back bending will strengthen your back and abdominal muscles and enhance your spine, helping relieve pain.The bow pose stimulates the reproductive organs and helps in improving menstrual disorders.","Dhanurasana is an intermediate level, back-bending prone pose. It strengthens the lower back and core.","Dhanurasna should not be performed by people suffering from high blood pressure, hernia, colitis, peptic ulcer or heart ailment.It should also be avoided if pregnant.","Look straight ahead and hold the pose for about 15 seconds while you focus on stretching, breathing, and balancing. Exhale and release the pose. Lower your head, chest, thighs, and feet back towards the mat. Let go of your ankles and return to your hands to your side.","Lie flat on your stomach, with your arms placed beside your body and feet hip-width apart.Now, gently fold your knees, and try to place your ankles on your buttocks.Hold your ankles with your hands.Try to lift your thighs and chest off the ground, as high as possible.","The more the breath is slow and steady the more the body will balance well. Try and remain in this pose with eyes closed. After a few seconds or breathe , slowly inhale and while exhaling lower both knees, shoulders and chin towards the ground still holding on to your ankles.",,,https://drive.google.com/file/d/13KxsGckGH0jvVuh0bAmmJ8zzAXevuIk7/view?usp=sharing
Durvasasana,"Durvasasana or Durvasana,is an advanced standing asana in hatha yoga.The pose is named after Durvasa, a proverbially angry sage","Make Lower Body Stronger, Strengthen Core and Back, Increases Blood Circulation",An advanced standing yoga pose.,"Too much pressure is on the abdominal area as the entire body is balancing, so people suffering from ulcers in stomach or someone with Hernia should avoid this pose. Women who are pregnant should avoid this.","An advanced standing balancing pose with one leg behind the neck; the hands are held together over the chest in prayer position. It is difficult to balance in the pose, and recommends using a support to begin with.",,The breathing in the pose is stated to be either natural or ujjayi.,,,https://drive.google.com/file/d/1h7hMU0LGs948SJfE0v6cpB_JAXkq64uA/view?usp=sharing
Garbha Pindasana,"Garbha Pindasana, Embryo in Womb Pose, sometimes shortened to Garbhasana, is a seated balancing asana in hatha yoga and modern yoga as exercise.","It relaxes the whole spine, especially the muscles of the lumbar spine. Helpful for abdominal cramps and strengthens all abdominal muscles. It cleans and tones the liver and spleen and strengthens the uterus and rectum. ",Garbhasana is an intermediate level pose and is performed in sitting position. It additionally involves stretch and forward bend.,"Do not perform garbha pindasana if you are suffering from sciatica or other spinal problems. If you have an injury in the ankles, knees, hips, or back, skip this asana. Perform garbha pindasana only if you can achieve padmasana with ease.","In garbha pindasana, we're looking to roll around in a circle while maintaining the shape of the posture and resisting gravity in that way.","Firstly align in Lotus Pose (Padmasana).From here inhale, lift the legs up and bring the hands through the legs.Exhale and bring the arms out and place the hands on the face at the chin.You are balancing on your sit bones so keep the breath awareness to maintain the balance.",Normal breathing. Repetitions: 1–2 times.,,,https://drive.google.com/file/d/1ulc4F8W7QXK4I433m0NGqLfdgT3g4Jtl/view?usp=sharing
Garudasana,Garudasana  or Eagle Pose is a standing balancing asana in modern yoga as exercise. The name was used in medieval hatha yoga for a different pose.,"Improves concentration levels, balance.Stretches out the muscles of the ankles, calves, thighs, hips, upper back, shoulders and arms.Loosens the joints of the arms, legs and hips.Can help prevent and treat health issues like asthma, sciatica and back pain.",Garudasana is an advanced yoga pose that strengthens the legs and also makes them more flexible.,"Avoid getting into this pose if you have any knee, elbow, ankle and wrist injury. Not for women in later term pregnancy.","Garudasana is an asymmetric position in which one leg, say the right, is crossed over the left, while the arm on the opposite side, say the left, is crossed over the right, and the palms are pressed together. Like all poses on one leg, it demands, and may help to build, balance and concentration.","Stand up straight and focus your gaze on a spot right ahead. Bend the right leg, move your right thigh over the left thigh and gently wrap it around the left leg. The top of the right foot should rest on the calf of the left leg. Bend the elbows and move them to the front of your chest.","In the practice of Garudasana, its the breathing that is soft and deep that supports the hips to remain stable and in balance.",,,https://drive.google.com/file/d/1ANdWJlgCPfq1bR2U3izB_ad2VHMEbreA/view?usp=sharing
Gomukhasana,"Gomukhasana or Cow Face Pose is a seated asana in hatha yoga and modern yoga as exercise, sometimes used for meditation.","Gomukhasana stretches muscles in the ankles, knees, chest and shoulders which not only strengthens them but also improves the overall body posture.","Gomukhasana is a complex posture. It combines a deep hip opener with a deep shoulder and chest opener through flexion, external rotation","If you are suffering from neck, shoulder and/or knee pains, sciatica, you must not practice this asana. Pregnant women must not fold forward for the first trimester.","The Gomukhasana (Cow Face Yoga Pose) posture looks like the face of a cow from above as the feet resemble the horns and knees resemble the mouth. Place both feet on the ground, putting them on either side of the bottom, and hold the body erect.",Sit with your back straight on a yoga mat.Keep both the feet together and place your palms on the hips.Now fold your left leg and gently place it under the right buttock.Bring your right leg over your left thigh.Stack both the knees closely over one another.,Normal breathing ; Repetitions: once to each side.,,,https://drive.google.com/file/d/1QU8lWl84C3Du00Dp1cINeeoEuxYwLlNZ/view?usp=sharing
Gorakshasana,Gorakshasana  is a seated asana in hatha yoga. It has been used for meditation and in tantric practice.,"It is a good pose for meditation and Tantra Yoga practices. It awakens the Kundalini energy by redirecting the apana upwards to the higher Chakras.It makes the legs, joints of legs, feet and low back flexible, makes feet and legs supple.Good for your back and posture.",It is an intermediate level yoga pose. It is a remedy for various mental and physical ailments. It is one of the advanced seated Yoga posture.,"People with issues in their knees and lower back should avoid this pose. Furthermore, those who have sciatica pain and hernia should consult their doctor before attempting this posture.",Gorakshāsana is a seated pose with the soles of the feet pressed together and the knees on the ground. The pose is sometimes described as having the toes on the ground with the heels directly above them.,Sit on the floor in padmasana. Stretching the arms forward place them on the floor. Raise your trunk and lift the hips off the floor. Keeping the trunk stretched straight stand with your knees. Stretch your thighs and gradually lift the hands off the floor one-by-one.,Breathe normally. Focus your mind in between eyebrows. Be here for few breaths or as long as you are comfortable being in. Release from the pose.,,,https://drive.google.com/file/d/1j6MeWau0VrMKm3azevdFV62SEH2sybzd/view?usp=sharing
Halasana,"Halasana or Plough pose is an inverted asana in hatha yoga and modern yoga as exercise. Its variations include Karnapidasana with the knees by the ears, and Supta Konasana with the feet wide apart.","Halasana stretches your spine and stretches, strengthens, and tones your back muscles. It helps prevent and relieve tightness in your neck, shoulders, and back. The pose also strengthens your shoulders, arms, and legs. Practicing Halasana enhances flexibility, which improves muscle and joint mobility.",Intermediate level for someone who already has a flexible back and control over his/her breathing. Advanced level for someone who needs that extra practice to get to easy breathing and work on flexibility of the lower back.,"Those suffering from back problems or slipped disc, weak or injured cervical muscles, weak legs, weak hamstring muscles or calf muscles should avoid Halasana.Pregnant women or women during their menstruation time should avoid Halasana.","In supine position exhale and while inhaling slowly raise your legs to a 90 degree angle from the ground. While exhaling raise the hips and abdomen, bringing the legs over the head, keeping them suspended above the ground. After exhaling fully, lower the legs to rest the toes on the floor keeping the legs straight.","Lie on your back with your arms next to your body and palms pressing into the floor. As you inhale, lift your legs to 90 degrees. As you exhale, roll your pelvis off the floor, moving your legs back toward your head. Slowly lower your legs over your head, toward the floor.","Halasana or the plow pose helps rejuvenate the inner parts of your body and make it healthy again. Take a deep breath and then inhale using your abdominal muscles to lift your feet off the floor, raising your legs vertically at a 90 degree angle. Continue to breathe normally while supporting your hips.",,,https://drive.google.com/file/d/1kiR_DNHtNpNaNQb1KBP2Hof8W5jSgjv8/view?usp=sharing
Hanumanasana,Hanumanasana or Monkey Pose is a seated asana in modern yoga as exercise. It is the yoga version of the front splits.,"Hanumanasana Stretches and strengthens groin region, hamstrings and thigh muscles.It stimulates the digestive and reproductive organs, by boosting their functioning.Monkey Pose Makes hips flexible if practice daily.Stretches back muscles also.Helps to release tension and stress.","This belongs to the intermediate level of asanas, and it can be very challenging even for beginners! One of the hardest skills to learn in hanumanasana is that of maintaining a balanced pelvis in order that both sides of your torso remain long in the pose.","People recovering from an injury of the joints of the coccygeal (tailbone), hips, pelvis, knees, ankles, should avoid this practice. Pregnant women should avoid this practice, since it puts pressure to the groin, pelvis, and abdomen. It can also lead to varicose vein in the groin, and legs.","The pose is approached from a kneeling position, stretching one leg forwards, the other straight back, supporting the body on the hands until the full pose is mastered. The hands may then be placed in prayer position (Anjali Mudra). Finally the arms may be stretched above the head, the palms together.","Begin in Downward-Facing Dog and step your right foot in between your hands. Lower your back knee to the ground, and untuck the toes. Bring both hands to the top of your right thigh, and begin to bend deeply into the front leg. Be sure to keep the torso upright to get the most effective stretch in the hip flexors.",Hold the pose for five to 10 breaths and then repeat on the other side.Pause when you feel a stretch and breathe length into your hamstring.,,,https://drive.google.com/file/d/1hkgaqRWF4EWOaGhoZMC8T1IyWx1oAPQP/view?usp=sharing
